chrom,start,end,Fresh,Fix,HexFix
chr10,7589619,7590019,301,44,69
chr10,7591384,7591784,17,5,8
chr10,7600625,7601025,26,2,30
chr10,7608623,7609023,27,13,9
chr10,7612208,7612608,86,30,17
chr10,7614772,7615172,20,2,16
chr10,7617701,7618101,53,19,26
chr10,7619716,7620116,61,14,22
chr10,7661662,7662062,22,16,17
chr10,7663113,7663513,226,43,102
chr10,7667322,7667722,136,46,60
chr10,7673691,7674091,33,12,6
chr10,7681519,7681919,129,9,37
chr10,7715051,7715451,63,18,29
chr10,7725744,7726144,295,82,126
chr10,7780824,7781224,100,23,59
chr10,7792666,7793066,126,14,71
chr10,7832259,7832659,16,11,21
chr10,7867341,7867741,29,4,15
chr10,7870892,7871292,15,1,12
chr10,7925465,7925865,62,22,12
chr10,7956127,7956527,228,14,72
chr10,8114507,8114907,78,27,24
chr10,8240277,8240677,11,3,16
chr10,8297351,8297751,170,17,21
chr10,8358862,8359262,75,19,15
chr10,8363220,8363620,15,12,8
chr10,8364167,8364567,93,23,21
chr10,8500763,8501163,25,10,7
chr10,8518518,8518918,149,30,49
chr10,8520292,8520692,9,9,14
chr10,8530777,8531177,14,8,2
chr10,8538582,8538982,19,5,14
chr10,8552072,8552472,93,21,16
chr10,8559562,8559962,49,8,10
chr10,8580480,8580880,29,12,7
chr10,8639415,8639815,36,14,7
chr10,8715706,8716106,44,1,16
chr10,8742880,8743280,29,5,13
chr10,8762175,8762575,57,14,10
chr10,8792382,8792782,19,1,16
chr10,8795360,8795760,32,17,18
chr10,8801066,8801466,71,16,28
chr10,8815398,8815798,27,20,11
chr10,8819754,8820154,35,8,20
chr10,8832730,8833130,58,17,21
chr10,8835905,8836305,37,3,13
chr10,8844348,8844748,40,17,20
chr10,8881015,8881415,88,23,29
chr10,8883688,8884088,99,28,24
chr10,8884380,8884780,12,5,13
chr10,8886103,8886503,223,44,86
chr10,8888199,8888599,23,13,6
chr10,8889349,8889749,204,58,47
chr10,8890481,8890881,32,9,15
chr10,8895180,8895580,15,13,6
chr10,8935591,8935991,39,12,12
chr10,9085465,9085865,69,25,24
chr10,9090916,9091316,36,8,17
chr10,9529495,9529895,23,8,9
chr10,9531670,9532070,27,12,3
chr10,9625329,9625729,57,18,25
chr10,9675123,9675523,59,8,27
chr10,9676927,9677327,40,5,31
chr10,9801612,9802012,50,23,17
chr10,9803098,9803498,16,7,11
chr10,9889305,9889705,28,11,15
chr10,9901892,9902292,93,27,20
chr10,10321128,10321528,22,5,15
chr10,10472155,10472555,28,7,13
chr10,10558000,10558400,106,10,46
chr10,10689144,10689544,27,1,13
chr10,11149203,11149603,347,66,148
chr10,11199988,11200388,29,15,12
chr10,11229553,11229953,105,33,33
chr10,11242978,11243378,20,15,10
chr10,11253771,11254171,60,12,15
chr10,11262199,11262599,77,8,23
chr10,11263832,11264232,69,23,30
chr10,11269181,11269581,40,17,13
chr10,11280804,11281204,203,36,109
chr10,11283794,11284194,20,7,20
chr10,11341027,11341427,23,9,6
chr10,11343522,11343922,152,15,54
chr10,11540529,11540929,62,30,24
chr10,11747030,11747430,133,42,40
chr10,11801727,11802127,163,51,35
chr10,12018270,12018670,31,13,5
chr10,12385324,12385724,65,13,38
chr10,12489613,12490013,98,41,39
chr10,12541804,12542204,31,14,6
chr10,12542562,12542962,21,8,2
chr10,12548758,12549158,76,23,39
chr10,12550058,12550458,118,35,26
chr10,12553205,12553605,39,16,10
chr10,12554128,12554528,55,24,26
chr10,12572800,12573200,116,27,21
chr10,12579051,12579451,159,33,30
chr10,12583513,12583913,15,5,12
chr10,12608672,12609072,163,36,34
chr10,12609763,12610163,28,10,6
chr10,12612505,12612905,28,8,12
chr10,12614538,12614938,120,28,43
chr10,12694691,12695091,39,15,16
chr10,12704328,12704728,60,11,9
chr10,12724755,12725155,13,3,12
chr10,12725990,12726390,198,40,56
chr10,12762806,12763206,89,44,19
chr10,12765710,12766110,35,8,10
chr10,12785241,12785641,78,35,17
chr10,12792051,12792451,59,12,23
chr10,12805426,12805826,22,8,9
chr10,12809609,12810009,23,9,3
chr10,12813074,12813474,24,7,15
chr10,12858047,12858447,19,11,2
chr10,12867111,12867511,26,5,10
chr10,12869015,12869415,252,43,108
chr10,12878640,12879040,73,16,20
chr10,12881887,12882287,19,10,11
chr10,12909137,12909537,21,6,10
chr10,12909913,12910313,29,10,9
chr10,12912084,12912484,28,4,17
chr10,12915772,12916172,28,4,11
chr10,12919239,12919639,30,6,13
chr10,12922576,12922976,249,47,73
chr10,12930350,12930750,60,15,22
chr10,12941274,12941674,47,7,20
chr10,12964138,12964538,140,32,45
chr10,12997027,12997427,47,2,20
chr10,13008202,13008602,206,34,71
chr10,13014006,13014406,54,14,16
chr10,13016513,13016913,45,22,12
chr10,13018532,13018932,20,8,16
chr10,13023900,13024300,36,14,15
chr10,13061007,13061407,71,8,31
chr10,13087177,13087577,35,11,19
chr10,13090515,13090915,275,84,99
chr10,13101198,13101598,17,6,15
chr10,13102350,13102750,62,56,25
chr10,13103321,13103721,7,12,10
chr10,13107953,13108353,405,141,125
chr10,13112382,13112782,35,6,13
chr10,13115041,13115441,22,9,14
chr10,13117162,13117562,91,14,54
chr10,13125532,13126330,51,23,19
chr10,13127363,13127763,44,9,2
chr10,13133149,13133549,14,4,12
chr10,13184897,13185297,50,17,18
chr10,13192988,13193388,215,23,60
chr10,13324169,13324569,36,18,23
chr10,13369702,13370102,35,8,12
chr10,13474204,13474604,95,16,29
chr10,13500970,13501370,105,18,44
chr10,13552901,13553301,174,42,52
chr10,13554310,13554710,51,13,23
chr10,13555075,13555475,27,6,17
chr10,13729206,13729606,21,4,16
chr10,13768866,13769266,18,8,1
chr10,13822321,13822721,26,11,9
chr10,13837730,13838130,13,8,2
chr10,13868657,13869057,51,5,13
chr10,13964570,13964970,197,26,65
chr10,13968942,13969342,22,8,9
chr10,14016545,14016945,37,16,7
chr10,14018095,14018495,48,20,23
chr10,14056993,14057393,25,7,8
chr10,14072187,14072587,14,4,16
chr10,14075239,14075639,34,5,11
chr10,14075743,14076143,52,15,16
chr10,14081900,14082300,30,10,19
chr10,14270043,14270443,34,10,13
chr10,14393064,14393464,17,4,17
chr10,14460069,14460469,38,12,14
chr10,14541082,14541482,24,13,7
chr10,14543893,14544293,11,10,14
chr10,14544985,14545385,63,5,32
chr10,14570674,14571074,27,12,7
chr10,14583430,14583830,51,13,20
chr10,14647658,14648058,17,0,12
chr10,14692045,14692445,3,9,12
chr10,14698024,14698424,16,1,15
chr10,14703772,14704172,81,29,16
chr10,14705297,14705697,124,24,39
chr10,14759777,14760177,33,4,19
chr10,14923177,14923577,37,8,18
chr10,14966680,14967080,27,8,7
chr10,14967677,14968077,17,9,9
chr10,14969776,14970176,41,22,11
chr10,14985279,14985679,25,9,17
chr10,14986594,14986994,229,63,60
chr10,15263302,15263702,257,108,64
chr10,15300032,15300432,44,2,15
chr10,15586091,15586491,109,20,49
chr10,15791454,15791854,76,19,17
chr10,17150289,17150689,24,11,8
chr10,17177045,17177445,18,8,9
chr10,17230305,17230705,52,13,11
chr10,17528318,17528718,51,12,16
chr10,17575547,17575947,85,26,25
chr10,17579439,17579839,233,72,63
chr10,17622781,17623181,100,25,39
chr10,17697816,17698216,139,20,20
chr10,17705462,17705862,85,9,15
chr10,17719144,17719544,51,27,14
chr10,17722972,17723372,216,52,120
chr10,17733081,17733481,24,2,14
chr10,17796211,17796611,36,9,7
chr10,17797189,17797589,13,2,22
chr10,17819808,17820208,18,3,14
chr10,17820546,17820946,150,58,40
chr10,17827322,17827722,36,17,17
chr10,17869931,17870331,54,11,14
chr10,17947181,17947581,34,12,28
chr10,17947960,17948360,152,32,58
chr10,18023026,18023426,112,18,32
chr10,18044531,18044931,15,12,7
chr10,18055266,18055666,183,7,47
chr10,18204055,18204455,17,10,6
chr10,18210747,18211147,59,19,15
chr10,18235094,18235494,220,47,84
chr10,18251380,18251780,14,8,4
chr10,18318571,18318971,131,12,43
chr10,18323672,18324072,28,10,19
chr10,18329681,18330081,60,6,18
chr10,18333568,18333968,44,6,14
chr10,18347271,18347671,30,7,15
chr10,18356541,18356941,25,12,4
chr10,18370827,18371227,22,8,10
chr10,18371868,18372268,31,11,17
chr10,18388800,18389200,213,37,45
chr10,18389986,18390386,25,11,20
chr10,18407409,18407809,154,29,38
chr10,18418176,18418576,37,13,12
chr10,18422890,18423290,61,11,16
chr10,18430989,18431389,39,8,8
chr10,18446296,18446696,81,25,34
chr10,18448837,18449237,45,10,16
chr10,18453349,18453749,32,3,15
chr10,18461302,18461702,50,13,11
chr10,18463095,18463495,53,17,12
chr10,18469398,18469798,145,22,18
chr10,18479262,18479662,63,12,10
chr10,18482483,18482883,76,35,18
chr10,18501969,18502369,58,13,4
chr10,18506652,18507052,85,13,15
chr10,18545755,18546155,126,14,41
chr10,18559134,18559534,37,19,16
chr10,18584192,18584592,53,20,8
chr10,18602003,18602403,34,1,17
chr10,18634452,18634852,83,24,22
chr10,18644232,18644632,92,21,19
chr10,18661883,18662283,28,10,2
chr10,18743513,18743913,42,5,15
chr10,18750078,18750478,34,11,8
chr10,18760221,18760621,31,9,11
chr10,18844753,18845153,74,14,22
chr10,18999824,19000224,42,16,14
chr10,19009363,19009763,55,10,7
chr10,19015249,19015649,207,28,60
chr10,19078162,19078562,28,14,3
chr10,19153497,19153897,25,13,12
chr10,19154052,19154452,86,40,29
chr10,19167585,19167985,67,13,10
chr10,19186015,19186415,51,7,20
chr10,19192185,19192585,89,18,16
chr10,19207563,19207963,34,9,21
chr10,19208081,19208481,168,40,60
chr10,19283119,19283519,36,5,12
chr10,19300585,19300985,14,6,13
chr10,19352866,19353266,41,11,18
chr10,19356101,19356501,47,13,11
chr10,19357251,19357651,24,8,11
chr10,19372147,19372547,134,27,22
chr10,19404299,19404699,79,23,4
chr10,19591657,19592057,332,77,93
chr10,19708430,19708830,83,12,14
chr10,19835859,19836259,85,39,22
chr10,19850947,19851347,71,5,16
chr10,19891887,19892287,27,4,9
chr10,19907273,19907673,203,34,37
chr10,19913753,19914153,54,16,14
chr10,19915324,19915724,38,9,6
chr10,19933955,19934355,200,13,34
chr10,19938702,19939102,81,7,17
chr10,20030658,20031058,69,24,5
chr10,20073263,20073663,50,10,25
chr10,20091461,20091861,134,32,27
chr10,20148728,20149128,142,6,32
chr10,20153535,20153935,89,15,12
chr10,20156850,20157250,15,6,17
chr10,20160959,20161359,45,27,18
chr10,20170475,20170875,90,9,16
chr10,20176010,20176410,25,9,13
chr10,20178801,20179201,41,12,8
chr10,20186898,20187298,53,21,15
chr10,20187298,20187698,17,12,9
chr10,20216890,20217290,40,16,8
chr10,20243421,20243821,32,13,10
chr10,20285741,20286141,44,16,17
chr10,20290470,20290870,45,6,23
chr10,20295974,20296374,26,6,16
chr10,20312188,20312588,440,101,143
chr10,20314073,20314473,11,12,11
chr10,20314868,20315268,40,7,20
chr10,20337817,20338217,22,12,4
chr10,20347555,20347955,187,44,104
chr10,20361841,20362241,20,7,13
chr10,20396113,20396513,102,26,14
chr10,20400338,20400738,55,0,18
chr10,20518233,20518633,57,15,20
chr10,20520948,20521348,51,12,17
chr10,20548825,20549225,86,15,12
chr10,20769864,20770264,37,13,16
chr10,20952356,20952756,217,49,70
chr10,20954193,20954593,48,13,21
chr10,20963751,20964151,12,10,5
chr10,20966077,20966477,58,7,14
chr10,21054333,21054733,61,14,4
chr10,21056396,21056796,45,7,8
chr10,21068794,21069194,23,4,18
chr10,21082353,21082753,58,33,13
chr10,21087744,21088144,84,21,27
chr10,21090906,21091306,226,46,68
chr10,21092882,21093282,15,11,9
chr10,21101954,21102354,382,69,64
chr10,21109759,21110159,51,7,6
chr10,21130894,21131294,28,12,15
chr10,21144929,21145329,85,23,17
chr10,21158896,21159296,56,9,30
chr10,21160691,21161091,108,8,28
chr10,21178782,21179182,37,8,12
chr10,21295777,21296177,95,8,26
chr10,21335163,21335563,28,1,7
chr10,21337056,21337456,35,9,10
chr10,21439287,21439687,73,11,10
chr10,21454753,21455153,45,8,12
chr10,21494563,21494963,104,28,30
chr10,21701638,21702038,118,28,20
chr10,21746063,21746463,96,41,26
chr10,21776494,21776894,20,3,13
chr10,21826797,21827197,119,16,28
chr10,21829100,21829500,361,89,97
chr10,21842359,21842759,23,11,5
chr10,21844214,21844614,36,10,8
chr10,21845795,21846195,110,32,43
chr10,21847888,21848288,56,11,14
chr10,21857680,21858080,31,5,16
chr10,21896725,21897125,28,9,12
chr10,21918312,21918712,30,9,19
chr10,21923567,21923967,60,14,11
chr10,21936926,21937326,39,7,5
chr10,21961152,21961552,18,12,10
chr10,21978406,21978806,19,8,8
chr10,21979505,21979905,38,18,16
chr10,21980755,21981155,228,59,50
chr10,21982191,21982591,133,31,30
chr10,21988314,21988714,263,69,83
chr10,21992943,21993343,111,14,45
chr10,21994405,21994805,225,58,129
chr10,21997359,21997759,31,14,10
chr10,21998683,21999083,47,12,18
chr10,22000315,22000715,43,24,26
chr10,22163669,22164069,47,16,12
chr10,22583319,22583719,92,24,11
chr10,22594442,22594842,83,27,30
chr10,22597477,22597877,36,13,7
chr10,22604813,22605213,25,7,12
chr10,22613319,22613719,19,11,13
chr10,22644899,22645299,68,11,12
chr10,22731216,22731616,239,23,76
chr10,22879742,22880142,49,10,7
chr10,23195378,23195778,67,12,16
chr10,23198210,23198610,53,17,16
chr10,23349304,23349704,43,5,17
chr10,23782857,23783257,88,24,47
chr10,23787056,23787456,211,89,118
chr10,23796816,23797216,62,8,22
chr10,23806155,23806555,191,30,41
chr10,23813090,23813490,368,104,95
chr10,23815154,23815554,24,5,16
chr10,23839418,23839818,21,3,12
chr10,23894309,23894709,39,12,10
chr10,23977964,23978364,140,19,35
chr10,23979345,23979745,62,4,35
chr10,24022987,24023387,15,3,13
chr10,24043319,24043719,58,35,12
chr10,24048813,24049213,24,12,5
chr10,24067595,24067995,29,10,18
chr10,24085986,24086386,29,13,2
chr10,24131444,24131844,27,10,3
chr10,24132336,24132736,65,15,15
chr10,24149158,24149558,146,25,34
chr10,24158982,24159382,34,3,12
chr10,24164594,24164994,27,11,14
chr10,24173612,24174012,20,2,12
chr10,24312113,24312513,45,0,18
chr10,24354583,24354983,35,12,13
chr10,24407963,24408363,40,17,12
chr10,24558348,24558748,108,28,32
chr10,24589415,24589815,15,12,7
chr10,24590598,24590998,282,78,67
chr10,24591602,24592002,20,8,13
chr10,24595284,24595684,346,106,86
chr10,24599088,24599488,11,16,8
chr10,24615867,24616267,13,8,3
chr10,24634187,24634587,36,11,9
chr10,24711669,24712069,110,21,29
chr10,24754487,24754887,20,12,6
chr10,24789650,24790050,51,2,18
chr10,24797215,24797615,28,5,14
chr10,24799756,24800156,14,11,5
chr10,24805690,24806090,53,18,18
chr10,24806738,24807138,22,8,13
chr10,24826178,24826578,103,16,14
chr10,24834612,24835012,74,26,16
chr10,24869710,24870110,209,33,54
chr10,24873543,24873943,33,9,13
chr10,24895966,24896366,8,8,10
chr10,24916926,24917326,14,8,7
chr10,25023854,25024254,47,10,6
chr10,25029413,25029813,79,10,17
chr10,25086815,25087215,27,1,17
chr10,25111591,25111991,98,23,21
chr10,25119003,25119403,44,11,8
chr10,25140149,25140549,31,5,13
chr10,25185735,25186135,23,9,21
chr10,25186232,25186632,20,7,23
chr10,25191154,25191554,58,6,13
chr10,25198090,25198490,30,1,14
chr10,25219196,25219596,54,15,22
chr10,25250135,25250535,39,4,14
chr10,25258184,25258584,34,10,7
chr10,25268528,25268928,45,14,9
chr10,25275084,25275484,43,9,17
chr10,25279409,25279809,66,20,24
chr10,25291110,25291510,42,12,17
chr10,25296890,25297290,143,15,31
chr10,25310668,25311068,14,11,2
chr10,25314085,25314485,297,65,83
chr10,25315511,25315911,33,22,12
chr10,25319523,25319923,90,24,37
chr10,25327526,25327926,25,6,13
chr10,25359610,25360010,183,35,96
chr10,25367032,25367432,16,10,6
chr10,25372153,25372553,22,18,7
chr10,25372566,25372966,22,17,10
chr10,25379895,25380295,42,15,20
chr10,25382012,25382412,76,23,28
chr10,25385740,25386140,37,20,16
chr10,25387285,25387685,37,23,18
chr10,25411730,25412130,20,17,8
chr10,25415174,25415574,27,6,14
chr10,25427407,25427807,254,88,70
chr10,25432340,25432740,56,13,20
chr10,25433536,25433936,59,28,6
chr10,25439135,25439535,42,14,6
chr10,25588662,25589062,15,14,7
chr10,25621468,25621868,18,8,4
chr10,25632310,25632710,60,15,13
chr10,25707929,25708329,49,8,18
chr10,25783452,25783852,60,12,21
chr10,25808301,25808701,14,7,3
chr10,25809554,25809954,56,26,17
chr10,25874743,25875143,36,11,7
chr10,25928427,25928827,28,12,9
chr10,25946132,25946532,39,14,13
chr10,25958985,25959385,164,44,36
chr10,26078704,26079104,52,8,10
chr10,26334155,26334555,52,16,19
chr10,26340319,26340719,28,15,12
chr10,26371370,26371770,82,14,18
chr10,26372910,26373310,28,6,12
chr10,26375813,26376213,69,11,40
chr10,26454828,26455228,33,7,6
chr10,26517042,26517442,15,7,6
chr10,26695324,26695724,23,12,13
chr10,26772275,26772675,86,30,15
chr10,26804185,26804585,53,18,9
chr10,26907386,26907786,33,13,9
chr10,26936034,26936434,22,11,7
chr10,26938415,26938815,17,16,7
chr10,26958468,26958868,104,40,26
chr10,27013029,27013429,27,10,18
chr10,27133079,27133479,27,1,15
chr10,27174303,27174703,15,0,12
chr10,27811913,27812313,13,14,4
chr10,27825594,27825994,29,7,26
chr10,27949063,27949463,25,9,11
chr10,27968154,27968554,17,9,3
chr10,27986969,27987369,101,34,40
chr10,27988151,27988551,37,24,15
chr10,27990966,27991366,25,8,19
chr10,27994344,27994744,204,52,66
chr10,28013849,28014249,57,21,34
chr10,28074641,28075041,240,42,91
chr10,28087789,28088189,148,44,26
chr10,28178980,28179380,79,18,27
chr10,28185395,28185795,120,25,34
chr10,28229505,28229905,15,8,9
chr10,28232273,28232673,46,14,18
chr10,28425344,28425744,31,9,6
chr10,28493227,28493627,147,41,35
chr10,28586613,28587013,36,9,11
chr10,28636055,28636455,201,45,67
chr10,28647227,28647627,12,12,13
chr10,28730101,28730501,18,4,11
chr10,28955142,28955542,15,3,15
chr10,29019857,29020257,117,43,31
chr10,29118515,29118915,35,14,8
chr10,29143567,29143967,52,10,12
chr10,29146765,29147165,156,15,42
chr10,29211507,29211907,48,15,10
chr10,29236266,29236666,55,18,23
chr10,29313269,29313669,229,43,110
chr10,29361894,29362294,124,34,65
chr10,29394896,29395296,17,6,15
chr10,29474177,29474577,15,12,3
chr10,29532934,29533334,27,5,16
chr10,29534493,29534893,28,0,23
chr10,29535542,29535942,40,7,13
chr10,29595007,29595407,24,11,16
chr10,29804117,29804517,20,4,12
chr10,29851170,29851570,55,22,17
chr10,29855846,29856246,95,27,22
chr10,29866821,29867221,28,4,10
chr10,29935851,29936251,76,10,12
chr10,30121163,30121563,20,2,13
chr10,30199579,30199979,24,7,8
chr10,30200338,30200738,167,24,46
chr10,30295904,30296304,34,7,11
chr10,30366727,30367127,49,21,9
chr10,30370560,30370960,70,13,20
chr10,30424159,30424559,45,13,18
chr10,30584455,30584855,29,16,7
chr10,30600536,30600936,190,33,39
chr10,30618202,30618602,306,84,112
chr10,30627673,30628073,125,35,19
chr10,30629502,30629902,14,13,12
chr10,30655838,30656238,25,11,11
chr10,30718887,30719287,56,11,32
chr10,30729468,30729868,65,18,24
chr10,30731294,30731694,79,13,21
chr10,30733277,30733677,59,16,19
chr10,30737410,30737810,105,38,44
chr10,30802882,30803282,226,22,73
chr10,30810866,30811266,64,19,14
chr10,30842707,30843107,368,101,102
chr10,31195443,31195843,24,5,15
chr10,31201988,31202388,30,8,5
chr10,31212158,31212558,46,17,23
chr10,31303455,31303855,33,15,17
chr10,31313276,31313676,204,49,71
chr10,31370198,31370598,16,5,18
chr10,31429251,31429651,45,5,13
chr10,31445749,31446149,285,36,92
chr10,31456773,31457173,85,32,31
chr10,31533529,31533929,50,19,22
chr10,31547073,31547473,33,6,17
chr10,31609438,31609838,97,11,46
chr10,31615220,31615620,25,11,5
chr10,31742434,31742834,29,9,29
chr10,31917690,31918090,19,11,14
chr10,32640267,32640667,91,34,32
chr10,32889694,32890094,75,3,31
chr10,32943094,32943494,35,8,1
chr10,32946414,32946814,33,16,14
chr10,32957490,32957890,18,11,10
chr10,33088485,33088885,171,77,29
chr10,33353021,33353421,92,41,26
chr10,33370529,33370929,26,10,22
chr10,33375501,33375901,343,108,90
chr10,33624298,33624698,33,9,17
chr10,33792252,33792652,51,20,6
chr10,33797403,33797803,91,32,17
chr10,33870424,33870824,22,7,15
chr10,33871197,33871597,15,5,15
chr10,33882399,33882799,22,7,1
chr10,33905070,33905470,56,13,19
chr10,33950941,33951341,84,8,29
chr10,33961095,33961495,45,9,11
chr10,33977490,33977890,28,7,13
chr10,33986756,33987156,25,4,14
chr10,34019439,34019839,374,57,133
chr10,34033894,34034294,90,9,20
chr10,34066558,34066958,48,13,14
chr10,34096412,34096812,92,19,20
chr10,34126799,34127199,11,12,10
chr10,34127471,34127871,90,9,41
chr10,34200730,34201130,67,17,11
chr10,34207059,34207459,217,26,89
chr10,34222285,34222685,17,4,11
chr10,34230142,34230542,123,32,40
chr10,34233961,34234361,374,131,102
chr10,34235283,34235683,16,20,20
chr10,34236637,34237037,57,25,26
chr10,34238156,34238556,36,11,16
chr10,34247603,34248003,25,8,14
chr10,34252807,34253207,113,11,19
chr10,34280610,34281010,26,8,25
chr10,34281951,34282351,236,31,96
chr10,34297275,34297675,78,21,36
chr10,34388129,34388529,19,5,13
chr10,34418385,34418785,218,48,102
chr10,34425558,34425958,18,11,3
chr10,34447014,34447414,31,10,11
chr10,34483524,34483924,33,13,21
chr10,34507788,34508188,29,11,10
chr10,34571402,34571802,68,13,19
chr10,34795868,34796268,58,22,11
chr10,34887592,34887992,73,38,25
chr10,34994986,34995386,26,12,8
chr10,35057346,35057746,84,23,27
chr10,35131208,35131608,20,7,14
chr10,35151245,35151645,44,21,5
chr10,35156166,35156566,28,14,8
chr10,35225548,35225948,14,0,11
chr10,35265065,35265465,105,33,18
chr10,35428296,35428696,108,22,24
chr10,35444847,35445247,25,14,22
chr10,35478805,35479205,42,15,10
